,PID,Smiles,ecfp4
11,10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,0000000000000000000000000000000001000000000000000000000000000000000000001100000001000000000000000000000000000000000000000100000010000000000100001001000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010001000000000000000010000010000000000100010000001000000000000010000000100000000000000000000000000011000000000000000000000010000010000000100000000000000000000000010000000000000000000000000000000010000000000000000000000000000000001000100000000000000000000100000000000000000000000000000000000001000000000000000000000000000010000000000000000100000000000010000000000100010010000000000100000000000000001000000000000000100000000000000000000000000000000000000000000100000001000000000000000000000000000000000001010000000011000001000000000000000000000000010000010000000000001000000000000000000000000000000000000011010000000000000010000000001000000000000000000000000000000000000000000000000000000000000000
12,10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,0000000000001100000000000000000001000000000001000000000000000000000000010010000010000000000000000000000010000000000000000100000010000100000000000001000000000000000000000001000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000001000000000001001000100000000000000000000000000000000000100000010000000000000000001000000000000000000000000010000000000001000010100000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000001000000000000000000000000010000000010000000000000000000000000000000000010001110000000000000000000000001010000000000000000000000000000000000000101000000000000000010000000000000000000001000000000000000000000000100010000010000001000000000000000000000100010100000000001000010000000000100001000000000000000000000010010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
13,10138259,CC1=C(NC(=C1C(=O)NCC(CN2CCOCC2)O)C)C=C3C4=C(C=CC(=C4)F)NC3=O,0100000000000000000000000000000001001000000000000000000000000000000000000010000010000000001000001000000000010000000000000000000010000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000001000000000000000000000000000010000000010000000000000000000000010000000000000000000000000000000000000100010000000000000000000000001000010100000000000000000000000000001000000000000000000000000000000000000001000000101100000000000000000001000000000000000000000000000000000000100010000000000000000000000000000000000000000000100000000000000100010000000000001001000000000000000001000000001000000001000100010000010000000000000000000000000000000000010100011000000000000000000000100001000000000000000000000000001000000000000010000000000000000000000000000000000000001000000000000000001000000000000001000001001000000000000000000000000010000000000000000010000100000100000000000000000000010000000010000000000000010000000100000001000000000000000000000001000000000000010000000001000000000
14,10142586,CCS(=O)(=O)NC1=CC2=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3)NC4=CC=C(C=C4)CN5CCCCC5,0010110000000000000000000000000001001000000000000000010100000000100000000010000010000000001000000000000000100000000000000000000010000000000000100000000000000000000000001100000100000000000000010000000000000000000000000000000000001000000000000100001000000000000000000000000000000000000000000000001000000000000000100010000000000000000000000000000000000010100010000100000000000000000000000000010000000010000000000010000000000000000000000000000000000000000010001000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000001000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000001010100000000001001001000000000000000000010000010000000000100000001000000000000001000000000000000000000000000000000001000001000000000000000000000000010000000000000000000000000000000000000000000000000010000000010000000000000000000000100100000000000010000000000000000000000000000000000000000000000000
15,10143584,CN(C)CCCN1C2=CC=CC=C2C(=N1)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6=CC=CC7=CC=CC=C76,0000000000000001000000000000000001001000000001001000000000000001100000000000000010000000001000000000000000000000000000000100000000000000000100000000000000000010000000100000000100000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000100000000000000000000010000000000000001000010000000010000000001000000000000000000100010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000001000000000000000000000000000000000000000000000000000010000001001000000001000000010101000000010000000000000000000000000000001000000001000000000000000000000001100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001001000100000000001000000000000000000000000000000010000010000000000000000000000000000000000000001000010010000000000100000000100000000000000000000000000000000000010000000000000000000000000000000
16,10158940,COCCOC1=CC2=C(C=C1)N(C=N2)C3=NC4=C(C=CC=C4N5CCC(CC5)N)C=C3,0000001000100101000000000000010011000000000001000000000000000001100000000100000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000010000000000100000000000000000000000000000100000000001000000000100000000000010000000000000000000010000000000000000000001100000000000000000000000000010000000000000000000010000000000000000000010000001000000000000000000001000000001000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000010000000000010000000000000000000010000000000000000000110000000000000000010000100010000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000100000001000000000000000000000000010000000000000000010000000000000000000000000000000010000010010000000000000000001000000000000000000000000000000000000000000100100001000000000000010000
17,10163439,CN(C)CCCN1C2=CC=CC=C2C(=N1)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6=CN=CC=C6,0000000000000000000100000100000001001000000001001000000000000000100000000000000010000000001000000000000000000000000000000100000000000000000100000000000000000010000000000000000100000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000010000000000000001000010000000010000000001000000000000000000100010000000000000000000001000000000000000000000000000000000000000000000000000001000010000000000000010000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000101000001000000001000000000000000000000000000000000000000010000000000001000000001000000010101000000010000000000000000000000000000001000000001000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000001000100010000001000000000000000000000000000000010000010000000000000000000000000000000000000001000010010000000000100000000100000000000000000000000000000000000010000000000000000000000000000000
18,10172943,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N,0100000000000000000000000000000001000000000000000000000000000000100000000110000110000010001000000000000000000000000000110000000000000000100000100001000000000000000000000000010100000000000000000000010000000000100000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000100100100001000000000000000000000010000000100000000000001000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000001000100000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010010010000000000100001000000000001000000000000000000000000001000001000000000000000000000000011000000000000000000010000000000000000000000000000000000000000001000001000000000000000000010000000000000000000010000000000000100100000100000000000000000000000000100000000000000100000000000000000010000000000000000000000000000000000000000000
19,10184653,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,0000000000000000000000000010000101100000000000000000000000000000000000000100000010000000000000000000000000000000000000010000000010000100001100000000000000000100100000000000000000000000000000010000000010100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000010011000000000100000000000010000000001000000000001000000000000000000000000000000000000000010010000010000000000001000000000000000000000011000000000000000000000001010000000000000000000000000000000110000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100010010000000000000100000000000000000000110001000000001000000010000000001000000000000000000000000000000000000000000000000000001000001000001010000000000001000000001000000000000000000000001001000001000000000000000000000000010000010000001000011000010000100000010000000000000010000000000000000000100010000000000100000000001000000000000000000000000000000000100000000100010000
20,10187378,CN(C)CCCN1C2=CC=CC=C2C(=N1)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6=CSC7=CC=CC=C76,0000000000000000000000000000000001001000000001001000000001000000100000000000000010000000001000000000000000000000000000000100000000000000000100000000000000000010000000000000010100000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000100000000000000000000010000000000000001000010000000010000000001000000000000000000100010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000010010000000000000000000000000000000000000000000000000000000000000000000000000000001000001001000000000001000001000000000000000000000000000000000000000000000010000000000001001000000001000000010101000000010000000000001000000000000000001000000001000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000100000000001000000000000001000000000000000010001010000000000000000000000000000000000010001000010010000000000100000000100000000000000000000000000000000000010000000000000000000000000000000
