siRNA,nbowVecs_1,nbowVecs_2,nbowVecs_3,nbowVecs_4,nbowVecs_5
EPHA5,0.292918454935622,0.466738197424893,0,0.0633047210300429,0.177038626609442
EPHA7,0.526091586794462,0.201277955271566,0,0.00851970181043664,0.264110756123536
EPHA8,0.595238095238095,0.232993197278912,0,0.0170068027210884,0.154761904761905
EPHB1,0.674846625766871,0.065439672801636,0,0.0231765507839127,0.23653715064758
EPHB2,0.226002430133657,0.634264884568651,0,0.0121506682867558,0.127582017010936
EPHB3,0.593939393939394,0.200757575757576,0.153030303030303,0.0522727272727273,0
EPHB4,0.566184649610678,0.259176863181313,0,0.0300333704115684,0.144605116796441
EPHB6,0.477064220183486,0.435124508519004,0,0.0157273918741809,0.072083879423329
ERBB2,0.555934515688949,0.305593451568895,0,0.0170532060027285,0.121418826739427
ERBB3,0.505279034690799,0.352941176470588,0,0.0135746606334842,0.128205128205128
ERBB4,0.681937172774869,0.0575916230366492,0.231675392670157,0.0287958115183246,0
ERN1,0.464652223489168,0.410490307867731,0.0855188141391106,0.0393386545039909,0
ERN2,0.50462962962963,0.0898148148148148,0,0.0324074074074074,0.373148148148148
ETNK1,0.730615507593925,0.104716227018385,0.119104716227018,0.04396482813749,0.00159872102318145
ETNK2,0.412478336221837,0.500288850375506,0.0566146735990757,0.0306181398035817,0
EXOSC10,0.600518806744488,0.309338521400778,0.0518806744487678,0.0382619974059663,0
FER,0.49016393442623,0.0426229508196721,0.00163934426229508,0.0344262295081967,0.431147540983607
FES,0.404921700223714,0.247203579418345,0,0.0548098434004474,0.293064876957494
FGFR2,0.474852071005917,0.252958579881657,0,0.0192307692307692,0.252958579881657
FGFR3,0.691637630662021,0.0714285714285714,0,0.0104529616724739,0.226480836236934
FGFR4,0.51668584579977,0.362485615650173,0,0.0149597238204833,0.105868814729574
FGFRL1,0.559454191033138,0.307992202729045,0.0760233918128655,0.0565302144249513,0
FGR,0.483193277310924,0.139495798319328,0,0.0546218487394958,0.322689075630252
FLJ25006,0.398637137989779,0.482112436115843,0,0.0178875638841567,0.101362862010221
FLJ32685,0.644602851323829,0.247454175152749,0.0733197556008147,0.0346232179226069,0
FLT1,0.38351983723296,0.118006103763988,0.475076297049847,0.0233977619532045,0
FLT3,0.688510638297872,0.172765957446809,0.100425531914894,0.0382978723404255,0
FLT4,0.640522875816993,0.0612745098039216,0,0.017156862745098,0.281045751633987
FN3K,0.566345441067457,0.31653076352854,0.0770941438102298,0.0400296515937732,0
FRAP1,0.668103448275862,0.201508620689655,0,0.00323275862068966,0.127155172413793
FRK,0.532212885154062,0.235294117647059,0,0.0252100840336134,0.207282913165266
FUK,0.501305483028721,0.0626631853785901,0,0.0744125326370757,0.361618798955614
FXN,0.579158316633267,0.18436873747495,0,0.0561122244488978,0.180360721442886
FYN,0.574061433447099,0.173378839590444,0,0.0559726962457338,0.196587030716724
GAK,0.453908984830805,0.0863477246207701,0,0.0326721120186698,0.427071178529755
GALK2,0.644305772230889,0.0904836193447738,0,0.0265210608424337,0.238689547581903
