datasetID,row,col,field,cellID,sampleID,siRNA,notes,positiveControl,negativeControl,BOOLEAN_arrayFoundNorm_Method,INTENSITY_Cell_mask_ch01_SumPixelsNorm_Method,SECONDARY_ch01_FLINNorm_Method,SHAPE_Array_mask_AreaNorm_Method,SECONDARY_array_np_mask_ch01_meanRatioNorm_Method,BOOLEAN_arrayFound_Norm,INTENSITY_Cell_mask_ch01_SumPixels_Norm,SECONDARY_ch01_FLIN_Norm,SHAPE_Array_mask_Area_Norm,SECONDARY_array_np_mask_ch01_meanRatio_Norm
1038,A,16,1,46,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-3.3842285525411,4.49186498021898,-1.54041771566279,6.25660095872502
1038,A,16,1,49,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-4.54846347559366,5.78697867784234,6.22518237770046,12.9790116982616
1038,A,16,1,50,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-6.62020939687486,4.49880991022679,-5.14587490186716,-10.9449607112145
1038,A,16,1,51,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,9.92267113356751,4.80751204907401,4.28378235435965,6.84592430509341
1038,A,16,1,52,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-1.27238341696033,2.43709168857449,-5.14587490186716,6.6925971202642
1038,A,16,1,54,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-4.60054797752976,4.37345392358579,12.0493824477229,-0.197711369911343
1038,A,16,1,59,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,0.129942054043727,3.35972564011225,-1.26307485518553,7.39512255484713
1038,A,16,1,63,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-0.166342683486709,4.31002356284778,3.45175377292787,13.6093567914483
1038,A,16,1,64,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-5.72077442254193,3.91508854307023,-1.81776057614005,-6.6587485750753
1038,A,16,1,70,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-2.37449147792821,5.25001983940506,-2.37244629709457,0.112977925663627
1038,A,16,1,71,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,0.277323637949204,0.836053824107032,0.400982307678021,-5.56707695209544
1038,A,16,1,76,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-2.37512351458092,3.02046580923066,-0.985731994708275,5.3254297222038
1038,A,16,1,85,EGFR | exp,EGFR,exp,false,false,posZ,posZ,posZ,posZ,posZ,2.76775951750422,-4.91871991025581,2.73433469290882,-4.8685320413899,-3.86299324000245
