siRNA,hsa,medoids_1,medoids_2,medoids_3,medoids_4,medoids_5
ALS2CR2,,3.828751566088,-3.77080089634908,-3.59272804187432,-7.24573476854166,-9.30655662654102
ALS2CR7,,1.1930392399277,4.10822653821781,-1.2771147540198,0.43329275092362,-8.48264717063497
AMHR2,hsa269,4.54445171346748,-5.27195817282469,-3.53641623439432,-4.47706259382625,-6.79436691838183
ANKK1,hsa255239,4.88854821033079,-7.63092963961419,0.784371969965567,-3.80146925284667,-1.14121154673315
APEG1,,3.84794230459442,-10.6690361941206,-3.23060781638368,-4.53425069165666,-9.38882428272863
ARAF,hsa369,2.76775951750422,3.19990793759959,1.54420518723687,0.123639447200762,-9.83670105946657
ARK5,,4.54445171346748,-5.38298594481702,-3.4361777446149,-7.80517691955336,-6.97750772248338
ATM,hsa472,3.828751566088,-8.93526602068363,0.279880679314805,-2.53090614042825,-7.38167280179194
ATR,hsa545,4.88854821033079,-9.82449477351358,1.61706907790216,-3.80146925284667,-5.48032604488944
AURKB,hsa9212,2.76775951750422,-4.2943145149104,3.66368207678747,-5.14587490186716,-22.9345189097157
AURKC,hsa6795,3.828751566088,-8.30423594486724,-0.149431744001402,-5.5816776056781,-6.58118833245702
AXL,hsa558,2.76775951750422,2.27809418400782,1.18353182216453,-1.81776057614005,-6.75513847197086
BAIAP1,,1.1930392399277,-9.21433361161901,-0.781593997962439,0.155949890446361,2.33655834951346
BCKDK,hsa10295,4.88854821033079,-9.2371922705586,6.51764318908084,-6.02021213666475,-8.10213124044846
BCR,hsa613,2.76775951750422,-1.18525599394632,-3.18193543191228,-7.91930350663975,-20.0430461654
BLK,hsa640,4.54445171346748,-6.27949482353556,-1.67077653662923,-1.70363398905366,-3.14970800297536
BMP2K,hsa55589,1.60754890861832,-5.2291903593248,-1.19452796134357,-5.54671853811494,-11.9214127830215
BMPR1A,hsa657,4.61911949644391,-1.27535633010454,1.07698502096137,-3.07936551416506,-7.94073420378614
BMPR1B,hsa658,1.60754890861832,0.412064488800527,0.839989284444789,-2.21860421238783,3.1828840605115
BMPR2,hsa659,4.54445171346748,-4.89933745290611,-0.204470314313316,-3.64503401239447,-5.30368595476457
BMX,hsa660,1.60754890861832,-4.87756730153507,-1.38065208555292,-1.94126135191058,0.498089188143991
